#  Energy(Ry)          total             X             Y             Z
#  Broadening is:       0.0150000     Ry
      0.18900000E+00      0.23321094E-02      0.92113381E-03      0.93197726E-03      0.47899828E-03
      0.19000000E+00      0.23550041E-02      0.93041286E-03      0.94134842E-03      0.48324287E-03
      0.19100000E+00      0.23780831E-02      0.93977010E-03      0.95079829E-03      0.48751468E-03
      0.19200000E+00      0.24013480E-02      0.94920633E-03      0.96032769E-03      0.49181394E-03
      0.19300000E+00      0.24248007E-02      0.95872237E-03      0.96993744E-03      0.49614085E-03
      0.19400000E+00      0.24484430E-02      0.96831905E-03      0.97962837E-03      0.50049563E-03
      0.19500000E+00      0.24722770E-02      0.97799720E-03      0.98940132E-03      0.50487849E-03
      0.19600000E+00      0.24963045E-02      0.98775768E-03      0.99925716E-03      0.50928967E-03
      0.19700000E+00      0.25205275E-02      0.99760135E-03      0.10091967E-02      0.51372937E-03
      0.19800000E+00      0.25449478E-02      0.10075291E-02      0.10192209E-02      0.51819783E-03
      0.19900000E+00      0.25695676E-02      0.10175417E-02      0.10293306E-02      0.52269526E-03
      0.20000000E+00      0.25943888E-02      0.10276402E-02      0.10395267E-02      0.52722191E-03
      0.20100000E+00      0.26194135E-02      0.10378255E-02      0.10498101E-02      0.53177799E-03
      0.20200000E+00      0.26446438E-02      0.10480983E-02      0.10601817E-02      0.53636374E-03
      0.20300000E+00      0.26700817E-02      0.10584598E-02      0.10706425E-02      0.54097940E-03
      0.20400000E+00      0.26957294E-02      0.10689108E-02      0.10811934E-02      0.54562520E-03
      0.20500000E+00      0.27215890E-02      0.10794523E-02      0.10918354E-02      0.55030139E-03
      0.20600000E+00      0.27476627E-02      0.10900852E-02      0.11025693E-02      0.55500820E-03
      0.20700000E+00      0.27739527E-02      0.11008105E-02      0.11133963E-02      0.55974588E-03
      0.20800000E+00      0.28004612E-02      0.11116292E-02      0.11243173E-02      0.56451468E-03
      0.20900000E+00      0.28271905E-02      0.11225423E-02      0.11353334E-02      0.56931484E-03
      0.21000000E+00      0.28541429E-02      0.11335509E-02      0.11464454E-02      0.57414662E-03
      0.21100000E+00      0.28813207E-02      0.11446559E-02      0.11576545E-02      0.57901027E-03
      0.21200000E+00      0.29087262E-02      0.11558584E-02      0.11689617E-02      0.58390604E-03
      0.21300000E+00      0.29363618E-02      0.11671595E-02      0.11803682E-02      0.58883421E-03
      0.21400000E+00      0.29642300E-02      0.11785601E-02      0.11918748E-02      0.59379501E-03
      0.21500000E+00      0.29923331E-02      0.11900615E-02      0.12034828E-02      0.59878873E-03
      0.21600000E+00      0.30206736E-02      0.12016647E-02      0.12151933E-02      0.60381563E-03
      0.21700000E+00      0.30492541E-02      0.12133709E-02      0.12270073E-02      0.60887598E-03
      0.21800000E+00      0.30780771E-02      0.12251811E-02      0.12389260E-02      0.61397004E-03
      0.21900000E+00      0.31071451E-02      0.12370964E-02      0.12509505E-02      0.61909810E-03
      0.22000000E+00      0.31364607E-02      0.12491182E-02      0.12630821E-02      0.62426043E-03
      0.22100000E+00      0.31660266E-02      0.12612474E-02      0.12753218E-02      0.62945731E-03
      0.22200000E+00      0.31958454E-02      0.12734854E-02      0.12876709E-02      0.63468903E-03
      0.22300000E+00      0.32259199E-02      0.12858333E-02      0.13001307E-02      0.63995586E-03
      0.22400000E+00      0.32562527E-02      0.12982924E-02      0.13127022E-02      0.64525810E-03
      0.22500000E+00      0.32868468E-02      0.13108639E-02      0.13253868E-02      0.65059605E-03
      0.22600000E+00      0.33177047E-02      0.13235490E-02      0.13381858E-02      0.65596999E-03
      0.22700000E+00      0.33488296E-02      0.13363490E-02      0.13511004E-02      0.66138021E-03
      0.22800000E+00      0.33802241E-02      0.13492652E-02      0.13641318E-02      0.66682704E-03
      0.22900000E+00      0.34118913E-02      0.13622990E-02      0.13772815E-02      0.67231075E-03
      0.23000000E+00      0.34438341E-02      0.13754516E-02      0.13905508E-02      0.67783167E-03
      0.23100000E+00      0.34760554E-02      0.13887244E-02      0.14039409E-02      0.68339010E-03
      0.23200000E+00      0.35085585E-02      0.14021188E-02      0.14174533E-02      0.68898635E-03
      0.23300000E+00      0.35413463E-02      0.14156361E-02      0.14310894E-02      0.69462075E-03
      0.23400000E+00      0.35744219E-02      0.14292778E-02      0.14448506E-02      0.70029360E-03
      0.23500000E+00      0.36077887E-02      0.14430452E-02      0.14587382E-02      0.70600523E-03
      0.23600000E+00      0.36414496E-02      0.14569399E-02      0.14727538E-02      0.71175598E-03
      0.23700000E+00      0.36754081E-02      0.14709632E-02      0.14868988E-02      0.71754615E-03
      0.23800000E+00      0.37096674E-02      0.14851166E-02      0.15011747E-02      0.72337610E-03
      0.23900000E+00      0.37442309E-02      0.14994018E-02      0.15155830E-02      0.72924615E-03
      0.24000000E+00      0.37791020E-02      0.15138201E-02      0.15301253E-02      0.73515665E-03
      0.24100000E+00      0.38142841E-02      0.15283731E-02      0.15448030E-02      0.74110793E-03
      0.24200000E+00      0.38497806E-02      0.15430624E-02      0.15596178E-02      0.74710034E-03
      0.24300000E+00      0.38855952E-02      0.15578896E-02      0.15745713E-02      0.75313424E-03
      0.24400000E+00      0.39217314E-02      0.15728564E-02      0.15896651E-02      0.75920997E-03
      0.24500000E+00      0.39581929E-02      0.15879642E-02      0.16049008E-02      0.76532789E-03
      0.24600000E+00      0.39949833E-02      0.16032149E-02      0.16202800E-02      0.77148837E-03
      0.24700000E+00      0.40321064E-02      0.16186100E-02      0.16358046E-02      0.77769177E-03
      0.24800000E+00      0.40695659E-02      0.16341514E-02      0.16514761E-02      0.78393846E-03
      0.24900000E+00      0.41073658E-02      0.16498406E-02      0.16672964E-02      0.79022881E-03
      0.25000000E+00      0.41455099E-02      0.16656795E-02      0.16832672E-02      0.79656319E-03
      0.25100000E+00      0.41840022E-02      0.16816700E-02      0.16993902E-02      0.80294200E-03
      0.25200000E+00      0.42228466E-02      0.16978136E-02      0.17156674E-02      0.80936560E-03
      0.25300000E+00      0.42620473E-02      0.17141124E-02      0.17321005E-02      0.81583439E-03
      0.25400000E+00      0.43016084E-02      0.17305682E-02      0.17486914E-02      0.82234876E-03
      0.25500000E+00      0.43415340E-02      0.17471828E-02      0.17654421E-02      0.82890912E-03
      0.25600000E+00      0.43818284E-02      0.17639582E-02      0.17823543E-02      0.83551585E-03
      0.25700000E+00      0.44224960E-02      0.17808964E-02      0.17994302E-02      0.84216937E-03
      0.25800000E+00      0.44635410E-02      0.17979992E-02      0.18166717E-02      0.84887008E-03
      0.25900000E+00      0.45049679E-02      0.18152688E-02      0.18340807E-02      0.85561840E-03
      0.26000000E+00      0.45467812E-02      0.18327071E-02      0.18516594E-02      0.86241475E-03
      0.26100000E+00      0.45889855E-02      0.18503163E-02      0.18694097E-02      0.86925955E-03
      0.26200000E+00      0.46315854E-02      0.18680983E-02      0.18873339E-02      0.87615322E-03
      0.26300000E+00      0.46745856E-02      0.18860554E-02      0.19054340E-02      0.88309621E-03
      0.26400000E+00      0.47179908E-02      0.19041897E-02      0.19237122E-02      0.89008893E-03
      0.26500000E+00      0.47618059E-02      0.19225034E-02      0.19421707E-02      0.89713185E-03
      0.26600000E+00      0.48060359E-02      0.19409987E-02      0.19608118E-02      0.90422540E-03
      0.26700000E+00      0.48506856E-02      0.19596778E-02      0.19796377E-02      0.91137004E-03
      0.26800000E+00      0.48957601E-02      0.19785432E-02      0.19986507E-02      0.91856621E-03
      0.26900000E+00      0.49412646E-02      0.19975971E-02      0.20178531E-02      0.92581439E-03
      0.27000000E+00      0.49872042E-02      0.20168418E-02      0.20372474E-02      0.93311504E-03
      0.27100000E+00      0.50335843E-02      0.20362798E-02      0.20568359E-02      0.94046862E-03
      0.27200000E+00      0.50804102E-02      0.20559135E-02      0.20766211E-02      0.94787562E-03
      0.27300000E+00      0.51276873E-02      0.20757454E-02      0.20966054E-02      0.95533652E-03
      0.27400000E+00      0.51754213E-02      0.20957780E-02      0.21167914E-02      0.96285180E-03
      0.27500000E+00      0.52236176E-02      0.21160139E-02      0.21371817E-02      0.97042195E-03
      0.27600000E+00      0.52722820E-02      0.21364557E-02      0.21577788E-02      0.97804749E-03
      0.27700000E+00      0.53214203E-02      0.21571059E-02      0.21785855E-02      0.98572889E-03
      0.27800000E+00      0.53710383E-02      0.21779673E-02      0.21996043E-02      0.99346669E-03
      0.27900000E+00      0.54211420E-02      0.21990426E-02      0.22208380E-02      0.10012614E-02
      0.28000000E+00      0.54717375E-02      0.22203345E-02      0.22422894E-02      0.10091135E-02
      0.28100000E+00      0.55228308E-02      0.22418459E-02      0.22639613E-02      0.10170236E-02
      0.28200000E+00      0.55744283E-02      0.22635797E-02      0.22858566E-02      0.10249921E-02
      0.28300000E+00      0.56265363E-02      0.22855386E-02      0.23079781E-02      0.10330197E-02
      0.28400000E+00      0.56791612E-02      0.23077256E-02      0.23303288E-02      0.10411068E-02
      0.28500000E+00      0.57323096E-02      0.23301438E-02      0.23529117E-02      0.10492540E-02
      0.28600000E+00      0.57859881E-02      0.23527962E-02      0.23757299E-02      0.10574619E-02
      0.28700000E+00      0.58402034E-02      0.23756859E-02      0.23987865E-02      0.10657311E-02
      0.28800000E+00      0.58949624E-02      0.23988159E-02      0.24220845E-02      0.10740620E-02
      0.28900000E+00      0.59502721E-02      0.24221895E-02      0.24456272E-02      0.10824553E-02
      0.29000000E+00      0.60061395E-02      0.24458100E-02      0.24694179E-02      0.10909116E-02
      0.29100000E+00      0.60625719E-02      0.24696806E-02      0.24934599E-02      0.10994315E-02
      0.29200000E+00      0.61195764E-02      0.24938046E-02      0.25177564E-02      0.11080154E-02
      0.29300000E+00      0.61771606E-02      0.25181856E-02      0.25423109E-02      0.11166641E-02
      0.29400000E+00      0.62353320E-02      0.25428268E-02      0.25671270E-02      0.11253782E-02
      0.29500000E+00      0.62940982E-02      0.25677319E-02      0.25922080E-02      0.11341583E-02
      0.29600000E+00      0.63534670E-02      0.25929045E-02      0.26175576E-02      0.11430049E-02
      0.29700000E+00      0.64134463E-02      0.26183480E-02      0.26431795E-02      0.11519188E-02
      0.29800000E+00      0.64740442E-02      0.26440664E-02      0.26690773E-02      0.11609006E-02
