#  Energy(Ry)          total             X             Y             Z
#  Broadening is:       0.0150000     Ry
      0.18200000E+00      0.21975874E-01      0.99108447E-02      0.98483928E-02      0.22166370E-02
      0.18300000E+00      0.22234269E-01      0.10027301E-01      0.99641940E-02      0.22427743E-02
      0.18400000E+00      0.22495469E-01      0.10145019E-01      0.10081252E-01      0.22691985E-02
      0.18500000E+00      0.22759513E-01      0.10264017E-01      0.10199583E-01      0.22959136E-02
      0.18600000E+00      0.23026439E-01      0.10384311E-01      0.10319205E-01      0.23229237E-02
      0.18700000E+00      0.23296286E-01      0.10505919E-01      0.10440134E-01      0.23502327E-02
      0.18800000E+00      0.23569093E-01      0.10628859E-01      0.10562390E-01      0.23778449E-02
      0.18900000E+00      0.23844901E-01      0.10753148E-01      0.10685989E-01      0.24057645E-02
      0.19000000E+00      0.24123751E-01      0.10878806E-01      0.10810950E-01      0.24339957E-02
      0.19100000E+00      0.24405684E-01      0.11005850E-01      0.10937291E-01      0.24625430E-02
      0.19200000E+00      0.24690743E-01      0.11134300E-01      0.11065032E-01      0.24914107E-02
      0.19300000E+00      0.24978971E-01      0.11264176E-01      0.11194192E-01      0.25206035E-02
      0.19400000E+00      0.25270411E-01      0.11395496E-01      0.11324790E-01      0.25501258E-02
      0.19500000E+00      0.25565108E-01      0.11528280E-01      0.11456846E-01      0.25799824E-02
      0.19600000E+00      0.25863107E-01      0.11662549E-01      0.11590380E-01      0.26101781E-02
      0.19700000E+00      0.26164455E-01      0.11798324E-01      0.11725413E-01      0.26407176E-02
      0.19800000E+00      0.26469197E-01      0.11935626E-01      0.11861965E-01      0.26716060E-02
      0.19900000E+00      0.26777382E-01      0.12074475E-01      0.12000059E-01      0.27028482E-02
      0.20000000E+00      0.27089059E-01      0.12214894E-01      0.12139715E-01      0.27344493E-02
      0.20100000E+00      0.27404275E-01      0.12356904E-01      0.12280956E-01      0.27664146E-02
      0.20200000E+00      0.27723082E-01      0.12500529E-01      0.12423804E-01      0.27987493E-02
      0.20300000E+00      0.28045531E-01      0.12645790E-01      0.12568282E-01      0.28314589E-02
      0.20400000E+00      0.28371672E-01      0.12792711E-01      0.12714412E-01      0.28645487E-02
      0.20500000E+00      0.28701560E-01      0.12941317E-01      0.12862219E-01      0.28980244E-02
      0.20600000E+00      0.29035248E-01      0.13091629E-01      0.13011726E-01      0.29318918E-02
      0.20700000E+00      0.29372789E-01      0.13243675E-01      0.13162958E-01      0.29661564E-02
      0.20800000E+00      0.29714241E-01      0.13397477E-01      0.13315940E-01      0.30008244E-02
      0.20900000E+00      0.30059659E-01      0.13553062E-01      0.13470696E-01      0.30359016E-02
      0.21000000E+00      0.30409102E-01      0.13710455E-01      0.13627253E-01      0.30713941E-02
      0.21100000E+00      0.30762627E-01      0.13869682E-01      0.13785636E-01      0.31073083E-02
      0.21200000E+00      0.31120294E-01      0.14030771E-01      0.13945873E-01      0.31436504E-02
      0.21300000E+00      0.31482165E-01      0.14193748E-01      0.14107990E-01      0.31804269E-02
      0.21400000E+00      0.31848300E-01      0.14358641E-01      0.14272015E-01      0.32176444E-02
      0.21500000E+00      0.32218763E-01      0.14525478E-01      0.14437975E-01      0.32553096E-02
      0.21600000E+00      0.32593618E-01      0.14694288E-01      0.14605901E-01      0.32934293E-02
      0.21700000E+00      0.32972930E-01      0.14865100E-01      0.14775820E-01      0.33320105E-02
      0.21800000E+00      0.33356766E-01      0.15037944E-01      0.14947762E-01      0.33710603E-02
      0.21900000E+00      0.33745193E-01      0.15212850E-01      0.15121757E-01      0.34105859E-02
      0.22000000E+00      0.34138279E-01      0.15389848E-01      0.15297837E-01      0.34505946E-02
      0.22100000E+00      0.34536096E-01      0.15568971E-01      0.15476031E-01      0.34910940E-02
      0.22200000E+00      0.34938715E-01      0.15750250E-01      0.15656373E-01      0.35320918E-02
      0.22300000E+00      0.35346208E-01      0.15933717E-01      0.15838895E-01      0.35735957E-02
      0.22400000E+00      0.35758649E-01      0.16119407E-01      0.16023629E-01      0.36156136E-02
      0.22500000E+00      0.36176114E-01      0.16307351E-01      0.16210609E-01      0.36581537E-02
      0.22600000E+00      0.36598680E-01      0.16497586E-01      0.16399870E-01      0.37012243E-02
      0.22700000E+00      0.37026426E-01      0.16690146E-01      0.16591446E-01      0.37448337E-02
      0.22800000E+00      0.37459430E-01      0.16885066E-01      0.16785373E-01      0.37889906E-02
      0.22900000E+00      0.37897774E-01      0.17082383E-01      0.16981688E-01      0.38337038E-02
      0.23000000E+00      0.38341542E-01      0.17282134E-01      0.17180426E-01      0.38789821E-02
      0.23100000E+00      0.38790818E-01      0.17484357E-01      0.17381626E-01      0.39248346E-02
      0.23200000E+00      0.39245688E-01      0.17689090E-01      0.17585326E-01      0.39712708E-02
      0.23300000E+00      0.39706239E-01      0.17896373E-01      0.17791566E-01      0.40183000E-02
      0.23400000E+00      0.40172561E-01      0.18106245E-01      0.18000384E-01      0.40659320E-02
      0.23500000E+00      0.40644745E-01      0.18318746E-01      0.18211822E-01      0.41141766E-02
      0.23600000E+00      0.41122884E-01      0.18533920E-01      0.18425920E-01      0.41630438E-02
      0.23700000E+00      0.41607073E-01      0.18751807E-01      0.18642722E-01      0.42125441E-02
      0.23800000E+00      0.42097408E-01      0.18972451E-01      0.18862270E-01      0.42626877E-02
      0.23900000E+00      0.42593989E-01      0.19195896E-01      0.19084607E-01      0.43134856E-02
      0.24000000E+00      0.43096915E-01      0.19422187E-01      0.19309779E-01      0.43649485E-02
      0.24100000E+00      0.43606288E-01      0.19651369E-01      0.19537831E-01      0.44170877E-02
      0.24200000E+00      0.44122214E-01      0.19883489E-01      0.19768810E-01      0.44699145E-02
      0.24300000E+00      0.44644798E-01      0.20118595E-01      0.20002762E-01      0.45234406E-02
      0.24400000E+00      0.45174150E-01      0.20356735E-01      0.20239737E-01      0.45776778E-02
      0.24500000E+00      0.45710380E-01      0.20597959E-01      0.20479783E-01      0.46326382E-02
      0.24600000E+00      0.46253602E-01      0.20842316E-01      0.20722952E-01      0.46883343E-02
      0.24700000E+00      0.46803930E-01      0.21089859E-01      0.20969293E-01      0.47447786E-02
      0.24800000E+00      0.47361483E-01      0.21340639E-01      0.21218860E-01      0.48019842E-02
      0.24900000E+00      0.47926380E-01      0.21594711E-01      0.21471705E-01      0.48599640E-02
      0.25000000E+00      0.48498745E-01      0.21852129E-01      0.21727884E-01      0.49187318E-02
      0.25100000E+00      0.49078702E-01      0.22112949E-01      0.21987451E-01      0.49783011E-02
      0.25200000E+00      0.49666379E-01      0.22377228E-01      0.22250464E-01      0.50386861E-02
      0.25300000E+00      0.50261906E-01      0.22645023E-01      0.22516981E-01      0.50999012E-02
      0.25400000E+00      0.50865416E-01      0.22916395E-01      0.22787060E-01      0.51619610E-02
      0.25500000E+00      0.51477046E-01      0.23191403E-01      0.23060762E-01      0.52248806E-02
      0.25600000E+00      0.52096933E-01      0.23470109E-01      0.23338149E-01      0.52886752E-02
      0.25700000E+00      0.52725220E-01      0.23752577E-01      0.23619282E-01      0.53533606E-02
      0.25800000E+00      0.53362050E-01      0.24038870E-01      0.23904228E-01      0.54189529E-02
      0.25900000E+00      0.54007573E-01      0.24329055E-01      0.24193050E-01      0.54854683E-02
      0.26000000E+00      0.54661937E-01      0.24623198E-01      0.24485816E-01      0.55529237E-02
      0.26100000E+00      0.55325298E-01      0.24921368E-01      0.24782594E-01      0.56213363E-02
      0.26200000E+00      0.55997813E-01      0.25223635E-01      0.25083454E-01      0.56907235E-02
      0.26300000E+00      0.56679642E-01      0.25530071E-01      0.25388468E-01      0.57611032E-02
      0.26400000E+00      0.57370950E-01      0.25840749E-01      0.25697708E-01      0.58324940E-02
      0.26500000E+00      0.58071905E-01      0.26155742E-01      0.26011248E-01      0.59049144E-02
      0.26600000E+00      0.58782677E-01      0.26475129E-01      0.26329165E-01      0.59783837E-02
      0.26700000E+00      0.59503442E-01      0.26798985E-01      0.26651535E-01      0.60529216E-02
      0.26800000E+00      0.60234379E-01      0.27127391E-01      0.26978440E-01      0.61285482E-02
      0.26900000E+00      0.60975672E-01      0.27460429E-01      0.27309959E-01      0.62052840E-02
      0.27000000E+00      0.61727506E-01      0.27798181E-01      0.27646175E-01      0.62831502E-02
      0.27100000E+00      0.62490074E-01      0.28140732E-01      0.27987174E-01      0.63621682E-02
      0.27200000E+00      0.63263571E-01      0.28488169E-01      0.28333042E-01      0.64423603E-02
      0.27300000E+00      0.64048197E-01      0.28840581E-01      0.28683867E-01      0.65237489E-02
      0.27400000E+00      0.64844156E-01      0.29198059E-01      0.29039739E-01      0.66063573E-02
      0.27500000E+00      0.65651658E-01      0.29560696E-01      0.29400753E-01      0.66902091E-02
      0.27600000E+00      0.66470915E-01      0.29928586E-01      0.29767001E-01      0.67753287E-02
      0.27700000E+00      0.67302148E-01      0.30301826E-01      0.30138581E-01      0.68617409E-02
      0.27800000E+00      0.68145580E-01      0.30680516E-01      0.30515592E-01      0.69494712E-02
      0.27900000E+00      0.69001439E-01      0.31064758E-01      0.30898135E-01      0.70385458E-02
      0.28000000E+00      0.69869960E-01      0.31454655E-01      0.31286314E-01      0.71289914E-02
      0.28100000E+00      0.70751383E-01      0.31850313E-01      0.31680234E-01      0.72208355E-02
      0.28200000E+00      0.71645952E-01      0.32251841E-01      0.32080005E-01      0.73141061E-02
      0.28300000E+00      0.72553920E-01      0.32659351E-01      0.32485737E-01      0.74088322E-02
      0.28400000E+00      0.73475543E-01      0.33072957E-01      0.32897543E-01      0.75050432E-02
      0.28500000E+00      0.74411084E-01      0.33492774E-01      0.33315541E-01      0.76027695E-02
      0.28600000E+00      0.75360813E-01      0.33918923E-01      0.33739848E-01      0.77020421E-02
      0.28700000E+00      0.76325005E-01      0.34351525E-01      0.34170587E-01      0.78028930E-02
      0.28800000E+00      0.77303943E-01      0.34790705E-01      0.34607883E-01      0.79053548E-02
      0.28900000E+00      0.78297916E-01      0.35236592E-01      0.35051863E-01      0.80094611E-02
      0.29000000E+00      0.79307220E-01      0.35689316E-01      0.35502657E-01      0.81152463E-02
      0.29100000E+00      0.80332160E-01      0.36149013E-01      0.35960401E-01      0.82227457E-02
      0.29200000E+00      0.81373045E-01      0.36615819E-01      0.36425231E-01      0.83319956E-02
      0.29300000E+00      0.82430195E-01      0.37089875E-01      0.36897287E-01      0.84430332E-02
      0.29400000E+00      0.83503936E-01      0.37571326E-01      0.37376713E-01      0.85558967E-02
      0.29500000E+00      0.84594602E-01      0.38060319E-01      0.37863658E-01      0.86706254E-02
      0.29600000E+00      0.85702538E-01      0.38557007E-01      0.38358272E-01      0.87872594E-02
      0.29700000E+00      0.86828094E-01      0.39061544E-01      0.38860710E-01      0.89058402E-02
      0.29800000E+00      0.87971630E-01      0.39574089E-01      0.39371131E-01      0.90264104E-02
